hour,rss_mb
0.0029,964.79
0.0059,964.79
0.0098,964.79
0.0128,964.79
0.0158,964.69
0.0188,964.69
0.0218,964.69
0.0248,964.69
0.0278,964.69
0.0309,964.66
0.0339,964.59
0.0369,964.59
0.0399,964.59
0.0429,964.59
0.0459,964.59
0.0489,964.59
0.0519,964.59
0.0549,964.59
0.0579,964.59
0.0609,964.59
0.064,964.59
0.067,964.59
0.07,964.59
0.073,964.59
0.076,964.59
0.079,964.59
0.082,964.68
0.085,964.68
0.088,964.68
0.0911,964.68
0.0941,964.68
0.0971,964.68
0.1001,964.68
0.1031,964.68
0.1061,964.68
0.1091,964.62
0.1121,964.62
0.1151,964.62
0.1182,964.62
0.1212,964.62
0.1242,964.62
0.1272,964.62
0.1302,964.62
0.1332,964.62
0.1362,964.62
0.1392,964.62
0.1422,964.62
0.1454,964.62
0.1484,964.62
0.1514,964.62
0.1544,964.62
0.1574,964.62
0.1605,964.62
0.1635,964.71
0.1665,964.71
0.1695,964.71
0.1725,964.71
0.1755,964.71
0.1785,964.71
0.1815,964.71
0.1846,964.62
0.1876,964.62
0.1906,964.62
0.1936,964.62
0.1966,964.62
0.1996,964.62
0.2026,964.62
0.2056,964.62
0.2086,964.62
0.2116,964.62
0.2147,964.62
0.2177,964.62
0.2207,964.62
0.2237,964.62
0.2267,964.62
0.2297,964.62
0.2328,964.62
0.2358,964.62
0.2389,964.62
0.2419,964.62
0.2449,964.62
0.2479,964.62
0.2509,964.62
0.254,964.62
0.257,964.62
0.2603,964.62
0.2633,964.62
0.2663,964.62
0.2693,964.62
0.2724,964.62
0.2754,964.62
0.2784,964.62
0.2814,964.62
0.2844,964.62
0.2874,964.62
0.2905,964.62
0.2935,964.62
0.2965,964.62
0.2995,964.62
0.3025,964.62
0.3055,964.62
0.3085,964.62
0.3115,964.62
0.3145,964.62
0.3175,964.62
0.3206,964.62
0.3236,964.62
0.3266,964.62
0.3296,964.62
0.3326,964.62
0.3356,964.62
0.3386,964.62
0.3416,964.62
0.3446,964.62
0.3476,964.62
0.3506,964.62
0.3537,964.62
0.3567,964.62
0.3597,964.62
0.3627,964.62
0.3657,964.62
0.3687,964.62
0.3717,964.62
0.3747,964.62
0.3778,964.62
0.3808,964.62
0.3838,964.62
0.3868,964.62
0.3898,964.62
0.3928,964.62
0.3958,964.62
0.3988,964.62
0.4019,964.62
0.4049,964.62
0.4079,964.62
0.4109,964.62
0.4139,964.62
0.4169,964.62
0.4199,964.62
0.4229,964.62
0.4259,964.62
0.429,964.62
0.432,964.62
0.435,964.62
0.438,964.62
0.441,964.62
0.444,964.62
0.447,964.62
0.45,964.62
0.453,964.62
0.4561,964.62
0.4591,964.62
0.4621,964.62
0.4651,964.62
0.4681,964.62
0.4711,964.62
0.4741,964.62
0.4771,964.62
0.4801,964.62
0.4831,964.62
0.4862,964.62
0.4892,964.62
0.4922,964.62
0.4952,964.62
0.4982,964.62
0.5012,964.62
0.5042,964.62
0.5072,964.62
0.5102,964.62
0.5133,964.62
0.5163,964.62
0.5193,964.62
0.5223,964.62
0.5253,964.62
0.5283,964.62
0.5313,964.62
0.5343,964.62
0.5373,964.62
0.5403,964.62
0.5433,964.62
0.5464,964.62
0.5494,964.62
0.5524,964.62
0.5554,964.62
0.5584,964.62
0.5614,964.62
0.5644,964.62
0.5674,964.62
0.5704,964.62
0.5734,964.62
0.5765,964.62
0.5795,964.62
0.5825,964.62
0.5855,964.62
0.5885,964.62
0.5915,964.62
0.5945,964.62
0.5976,964.62
0.6006,964.62
0.6036,964.62
0.6066,964.62
0.6096,964.63
0.6126,964.63
0.6156,964.63
0.6186,964.63
0.6216,964.63
0.6246,964.63
0.6277,964.63
0.6307,964.63
0.6337,964.63
0.6367,964.63
0.6397,964.63
0.6427,964.63
0.6457,964.63
0.6487,964.63
0.6517,964.63
0.6548,964.63
0.6578,964.63
0.6608,964.63
0.6638,964.63
0.6668,964.63
0.6698,964.63
0.6728,964.63
0.6758,964.63
0.6788,964.63
0.6819,964.63
0.6849,964.63
0.6879,964.65
0.6909,964.65
0.6939,964.65
0.6969,964.65
0.6999,964.65
0.7029,964.65
0.7059,964.65
0.7089,964.65
0.7119,964.65
0.715,964.66
0.718,964.66
0.721,964.66
0.724,964.66
0.727,964.66
0.73,964.66
0.733,964.66
0.736,964.66
0.739,964.66
0.742,964.66
0.7451,964.66
0.7481,964.66
0.7511,964.66
0.7541,964.66
0.7571,964.66
0.7601,964.66
0.7631,964.66
0.7661,964.66
0.7691,964.66
0.7722,964.66
0.7752,964.68
0.7782,964.68
0.7812,964.68
0.7842,964.68
0.7872,964.68
0.7902,964.68
0.7932,964.68
0.7963,964.68
0.7994,964.68
0.8024,964.68
0.8054,964.68
0.8085,964.68
0.8115,964.68
0.8145,964.68
0.8175,964.68
0.821,964.68
0.8243,964.68
0.8273,964.68
0.8303,964.68
0.8333,964.68
0.8363,964.68
0.8394,964.68
0.8424,964.68
0.8454,964.68
0.8484,964.68
0.8514,964.68
0.8545,964.68
0.8575,964.68
0.8605,964.68
0.8635,964.68
0.8665,964.68
0.8695,964.68
0.8726,964.7
0.8756,964.7
0.8786,964.7
0.8816,964.7
0.8846,964.7
0.8876,964.7
0.8906,964.7
0.8936,964.7
0.8966,964.7
0.8996,964.7
0.9027,964.7
0.9057,964.7
0.9087,964.7
0.9119,964.7
0.9149,964.7
0.9179,964.7
0.9209,964.7
0.9239,964.7
0.9269,964.7
0.9299,964.7
0.933,964.7
0.936,964.7
0.939,964.7
0.942,964.7
0.945,964.7
0.948,964.7
0.951,964.7
0.954,964.7
0.9571,964.7
0.9601,964.7
0.9631,964.7
0.9661,964.7
0.9691,964.7
0.9721,964.7
0.9751,964.7
0.9781,964.7
0.9811,964.72
0.9842,964.72
0.9872,964.72
0.9902,964.72
0.9932,964.72
0.9963,964.72
0.9993,964.72
