cycle,pm_arena_on,pm_arena_off
1,425.80078125,487.79296875
2,426.8203125,487.8046875
3,427.3359375,488.5078125
4,426.77734375,488.55859375
5,427.96484375,488.8671875
6,427.03515625,488.59765625
7,426.5234375,488.8671875
8,427.5,488.296875
9,429.6875,488.296875
10,431.125,488.296875
11,429.73828125,488.8671875
12,428.48828125,489.890625
13,428.7265625,489.87890625
14,431.39453125,488.8671875
15,429.10546875,487.71484375
16,430.609375,488.28125
17,428.99609375,488.28515625
18,429.51171875,488.85546875
19,427.21484375,488.86328125
20,426.8203125,488.859375
21,429.98046875,488.859375
22,427.69140625,489.4296875
23,430.98828125,488.85546875
24,427.59765625,488.85546875
25,468.109375,434.20703125
26,469.96484375,487.625
27,470.828125,487.6484375
28,472.57421875,486.50390625
29,472.44921875,486.50390625
30,471.703125,487.07421875
31,429.81640625,487.62109375
32,472.515625,487.65625
33,475.9921875,487.65625
34,476.04296875,488.21875
35,474.21875,488.10546875
36,473.04296875,488.09765625
37,476.4921875,488.16796875
38,474.7265625,488.9921875
39,475.15625,488.9921875
40,476.58984375,487.91796875
41,473.3203125,487.34765625
42,477.41015625,487.9140625
43,477.05859375,487.9140625
44,479.26953125,489.046875
45,478.2890625,487.4765625
46,480.01171875,487.4765625
47,480.75390625,487.4765625
48,480.890625,487.4765625
49,430.7265625,488.046875
50,479.90625,488.61328125
51,479.4375,488.5
52,481.0234375,488.49609375
53,481.0390625,489.06640625
54,481.1171875,489.5859375
55,481.9453125,490.1484375
56,481.96484375,490.1484375
57,484.26953125,490.13671875
58,485.6328125,489.3125
59,485.5859375,489.3125
60,484.828125,489.3125
61,484.55859375,437.7578125
62,483.9921875,488.8828125
63,485.765625,488.98046875
64,485.03515625,489.296875
65,482.9609375,489.875
66,483.6640625,490.4296875
67,484.21875,489.16796875
68,483.59765625,488.015625
69,484.11328125,488.62109375
70,484.16796875,487.109375
71,483.33203125,487.671875
72,483.0546875,487.109375
73,482.91015625,487.3671875
74,482.671875,487.375
75,482.12890625,488.2578125
76,483.26171875,488.14453125
77,483.42578125,488.703125
78,483.3984375,487.9453125
79,483.84375,487.94921875
80,484.1640625,487.37890625
81,483.88671875,488.38671875
82,484.3671875,488.515625
83,484.4296875,488.515625
84,484.9609375,489.08203125
85,432.91796875,487.765625
86,483.09765625,488.33203125
87,483.3828125,488.921875
88,483.65625,488.9140625
89,483.83984375,489.37109375
90,483.83984375,489.37109375
91,483.90234375,489.6328125
92,485.0390625,489.640625
93,484.46875,489.640625
94,484.65625,489.640625
95,485.171875,488.79296875
96,484.5625,488.21484375
97,484.58203125,488.21484375
98,485.69140625,430.40234375
99,483.8671875,487.07421875
100,483.92578125,486.6015625
