Inference#,Latency(ms),RSS(MB),GC#,GC Pause(ms),HeapAlloc(MB),Timestamp
100,859.00000,19.14453,2,0.00000,7.60154,20:32:41
200,844.00000,19.14453,3,0.00000,7.58585,20:34:06
300,844.00000,19.14453,4,0.00000,7.58784,20:35:31
400,844.00000,19.14453,4,0.00000,7.58991,20:36:55
500,828.00000,19.14453,5,0.00000,7.58801,20:38:20
600,844.00000,19.14453,6,1.16668,7.59091,20:39:45
