cycle,pm_arena_on,pm_arena_off
1,425.66015625,490.10546875
2,428.67578125,490.10546875
3,424.4296875,490.671875
4,426.703125,489.2109375
5,424.57421875,489.22265625
6,428.62109375,490.37109375
7,426.66796875,428.83203125
8,431.3359375,488.94140625
9,428.95703125,489.24609375
10,426.55078125,488.875
11,430.046875,489.1328125
12,428.29296875,489.7109375
13,426.796875,490.265625
14,429.85546875,490.52734375
15,429.39453125,490.53125
16,432.3203125,490.54296875
17,430.59375,490.10546875
18,428.05078125,489.47265625
19,429.3203125,489.47265625
20,428.2109375,488.31640625
21,472.75390625,487.7421875
22,428.5546875,488.8828125
23,431.17578125,488.87890625
24,474.84375,488.4296875
25,429.13671875,487.83984375
26,473.5859375,487.78125
27,472.4453125,487.7109375
28,471.71875,487.70703125
29,471.375,488.11328125
30,470.734375,487.55078125
31,468.0703125,487.55078125
32,467.65625,488.11328125
33,469.25,488.12109375
34,429.66796875,488.6875
35,470.890625,488.6875
36,471.68359375,488.6953125
37,471.44140625,488.6953125
38,475.2890625,488.1171875
39,473.28125,488.11328125
40,475.87890625,487.55078125
41,472.9765625,488.1328125
42,472.78515625,488.6875
43,478.01953125,488.1171875
44,476.0703125,488.11328125
45,475.70703125,487.55078125
46,475.7578125,487.55078125
47,474.9765625,488.12109375
48,475.953125,488.6875
49,476.69140625,488.6875
50,473.72265625,488.6953125
51,475.1640625,489.140625
52,428.51953125,489.13671875
53,475.171875,489.140625
54,477.11328125,489.2734375
55,477.12890625,489.84765625
56,477.9140625,489.84765625
57,477.3046875,490.4140625
58,476.51953125,489.2734375
59,475.66015625,488.47265625
60,478.23828125,488.73046875
61,480.6640625,488.71484375
62,480.5078125,488.71875
63,480.4765625,488.6640625
64,480.953125,488.0859375
65,481.1875,487.5
66,481.7890625,487.5078125
67,482.3671875,486.92578125
68,483.50390625,488.06640625
69,483.5,431.2109375
70,482.93359375,486.48046875
71,483.1953125,487.0
72,483.46875,487.0
73,484.05859375,485.87109375
74,482.62109375,486.65234375
75,482.30859375,486.07421875
76,482.875,486.640625
77,482.88671875,486.515625
78,483.59765625,486.49609375
79,482.11328125,487.65625
80,482.390625,487.66015625
81,481.7734375,487.609375
82,483.21875,488.16796875
83,482.41015625,487.80078125
84,483.01171875,487.49609375
85,484.08203125,486.64453125
86,482.98828125,487.2109375
87,481.83203125,486.25390625
88,482.1015625,487.375
89,429.359375,486.23828125
90,482.92578125,486.2421875
91,483.8046875,486.8125
92,484.94921875,487.3828125
93,485.46875,486.80078125
94,485.39453125,487.359375
95,483.80078125,487.80078125
96,483.76953125,487.80078125
97,483.4765625,487.2421875
98,483.73828125,488.375
99,484.0390625,488.9375
100,483.7109375,487.77734375
101,483.25390625,487.078125
102,484.88671875,487.6484375
103,485.02734375,487.078125
104,484.66796875,487.6484375
105,485.20703125,487.64453125
106,484.88671875,430.65234375
107,484.93359375,485.73046875
108,484.8125,485.82421875
109,484.84375,486.0703125
110,485.43359375,486.34375
111,486.90234375,486.96875
112,486.33203125,487.53515625
113,485.73046875,486.96875
114,485.7265625,486.40625
115,484.71484375,486.89453125
116,484.9453125,486.859375
117,485.9765625,487.33984375
118,485.9765625,487.92578125
119,487.67578125,486.734375
120,487.67578125,486.734375
121,488.30859375,486.7109375
122,486.7265625,487.28125
123,486.71875,487.27734375
124,487.8984375,487.28125
125,487.265625,488.125
126,486.390625,488.3828125
127,486.953125,487.80078125
128,486.578125,487.80078125
129,485.2421875,487.2265625
130,485.1875,487.234375
131,485.19140625,487.234375
132,485.70703125,487.8046875
133,485.34765625,486.828125
134,485.48046875,487.7109375
135,486.609375,487.13671875
136,486.609375,486.25390625
137,487.171875,487.265625
138,486.03515625,487.8359375
139,487.75,487.84375
140,487.73828125,487.83984375
141,487.73828125,488.40234375
142,486.66015625,487.265625
143,486.66796875,433.84375
144,487.234375,487.20703125
145,487.15234375,486.22265625
146,486.5703125,486.2109375
147,487.06640625,486.7734375
148,487.6484375,488.140625
149,486.4140625,487.4296875
150,486.984375,487.99609375
151,487.48828125,488.0
152,486.33984375,488.0
153,486.90625,487.87890625
154,486.90234375,488.26171875
155,487.45703125,487.44921875
156,487.44140625,487.12890625
157,487.44140625,486.54296875
158,487.44140625,486.53125
159,488.5703125,487.421875
160,488.578125,486.53125
161,488.578125,487.40625
162,488.58984375,486.4296875
163,489.15625,485.79296875
164,489.15625,486.9140625
165,489.15625,486.9296875
166,431.46875,486.93359375
167,488.29296875,486.29296875
168,487.74609375,487.17578125
169,489.140625,486.93359375
170,488.57421875,486.35546875
171,487.42578125,485.52734375
172,487.42578125,486.3984375
173,485.3125,486.3984375
174,485.875,485.83203125
175,486.44140625,487.22265625
176,486.94140625,486.66015625
177,485.83203125,487.2265625
178,484.5390625,487.2421875
179,484.49609375,488.3828125
180,484.42578125,432.6328125
181,484.703125,485.9765625
182,485.9765625,486.01171875
183,485.4140625,487.171875
184,484.84375,486.93359375
185,484.8203125,486.38671875
186,484.25390625,486.88671875
187,485.23046875,487.4609375
188,483.59765625,487.4765625
189,484.71484375,487.484375
190,485.53515625,487.99609375
191,484.83203125,488.00390625
192,484.55078125,487.99609375
193,484.20703125,486.53515625
194,484.34765625,486.53515625
195,485.55859375,487.1015625
196,485.5625,487.1015625
197,486.7734375,487.671875
198,486.83984375,488.5
199,487.40234375,488.50390625
200,487.96875,489.0703125
201,487.40234375,488.5
202,487.375,488.50390625
203,488.828125,488.5
204,488.82421875,488.50390625
205,488.828125,488.5
206,487.9453125,488.9609375
207,487.3828125,488.50390625
208,487.38671875,487.93359375
209,486.81640625,488.50390625
210,486.80078125,489.06640625
211,486.6640625,489.0703125
212,486.09765625,489.06640625
213,486.38671875,489.0703125
214,486.2734375,489.06640625
215,486.53515625,489.0703125
216,486.41015625,489.06640625
217,487.9765625,435.9375
218,487.4140625,487.69921875
219,487.98046875,486.80859375
220,487.4765625,487.37890625
221,486.8984375,486.83203125
222,488.28125,487.83984375
223,487.46484375,488.0390625
224,487.4765625,487.03515625
225,487.4609375,487.60546875
226,487.46484375,487.8671875
227,486.89453125,487.8671875
228,486.89453125,488.12890625
229,487.45703125,488.12890625
230,488.01171875,488.12890625
231,487.4453125,489.2578125
232,487.4453125,489.2578125
233,488.3359375,488.95703125
234,487.76171875,489.22265625
235,488.0234375,489.22265625
236,487.390625,489.21484375
237,487.296875,488.91015625
238,487.859375,488.91015625
239,487.296875,488.91015625
240,487.3125,490.046875
241,486.65625,490.578125
242,486.7734375,489.953125
243,486.77734375,490.05859375
244,486.33984375,488.515625
245,487.7890625,488.0859375
246,487.74609375,487.2109375
247,487.62890625,487.78125
248,434.34765625,487.78125
249,487.265625,487.78125
250,487.609375,488.36328125
251,488.17578125,487.81640625
252,488.1796875,487.2265625
253,488.1796875,486.625
254,488.06640625,429.171875
255,488.3359375,486.00390625
256,488.83984375,487.015625
257,488.3359375,486.046875
258,488.90234375,487.7421875
259,488.3359375,487.3203125
260,488.3359375,487.87890625
261,487.98828125,486.5078125
262,487.984375,485.95703125
263,487.94921875,486.26953125
264,487.03125,486.2734375
265,486.9921875,486.2734375
266,487.5546875,485.671875
267,486.9296875,485.953125
268,486.9296875,485.94921875
269,486.92578125,487.08984375
270,485.75390625,487.66015625
271,485.828125,487.09375
272,486.3984375,487.3671875
273,485.83203125,487.96484375
274,486.4296875,487.05859375
275,487.46484375,487.94140625
276,486.3671875,488.46875
277,486.91015625,487.0703125
278,486.33984375,488.21484375
279,485.7734375,486.796875
280,486.92578125,486.21484375
281,487.63671875,486.77734375
282,488.19921875,486.77734375
283,488.828125,487.34765625
284,488.83203125,486.21484375
285,489.39453125,486.78515625
286,488.34765625,487.35546875
287,488.3515625,486.77734375
288,488.08984375,487.93359375
289,434.4375,487.93359375
290,429.06640625,487.36328125
291,487.54296875,432.0234375
292,488.66015625,488.359375
293,487.13671875,488.42578125
294,487.140625,489.05859375
295,487.69921875,489.05859375
296,487.65234375,489.05859375
297,487.34375,489.05859375
298,487.34375,487.80859375
299,487.90625,487.52734375
300,487.90625,488.08984375
301,487.90625,486.375
302,488.40625,486.05859375
303,488.35546875,486.3984375
304,488.35546875,485.96875
305,486.7421875,486.78515625
306,487.30859375,486.79296875
307,487.5703125,487.35546875
308,487.58203125,487.34765625
309,488.71875,487.6640625
310,487.63671875,487.3515625
311,488.19140625,486.78125
312,487.89453125,487.34765625
313,488.74609375,486.65234375
314,488.74609375,485.52734375
315,489.23046875,486.07421875
316,487.0234375,486.8984375
317,488.0859375,487.125
318,488.52734375,487.59375
319,488.52734375,487.5703125
320,487.59765625,487.88671875
321,488.6640625,488.453125
322,488.1640625,487.74609375
323,488.1640625,488.0625
324,487.984375,488.0703125
325,487.984375,487.8203125
326,487.984375,487.53515625
327,487.984375,436.87890625
328,487.984375,486.21484375
329,487.984375,486.7421875
330,431.49609375,487.3203125
331,488.58984375,486.76171875
332,487.6484375,487.6484375
333,487.8828125,487.40234375
334,487.86328125,487.80078125
335,487.875,487.80078125
336,487.75390625,487.8046875
337,488.27734375,487.734375
338,488.265625,487.73828125
339,488.265625,487.734375
340,488.265625,487.609375
341,488.265625,487.609375
342,488.265625,487.609375
343,486.73828125,488.1328125
344,486.18359375,488.71484375
345,486.50390625,488.69921875
346,486.07421875,487.8125
347,486.64453125,487.24609375
348,486.07421875,428.84375
349,487.46484375,486.4921875
350,486.90234375,487.0625
351,488.03515625,487.578125
352,486.16015625,488.0546875
353,486.16015625,487.2890625
354,486.18359375,487.87109375
355,487.8203125,488.43359375
356,487.328125,487.61328125
357,488.38671875,488.1875
358,488.36328125,487.0234375
359,488.1015625,487.296875
360,488.1015625,487.30859375
361,487.98046875,487.86328125
362,487.98046875,486.7265625
363,487.98046875,486.7265625
364,487.98046875,435.671875
365,487.98046875,486.38671875
366,488.55078125,486.421875
367,487.84375,486.67578125
368,488.0234375,487.1796875
369,487.5234375,487.75
370,487.5234375,486.6015625
371,435.26953125,486.6015625
372,487.14453125,486.59765625
373,487.72265625,487.984375
374,486.6015625,487.68359375
375,487.74609375,487.99609375
376,488.2421875,488.12890625
377,488.17578125,488.1328125
378,488.1640625,488.9609375
379,488.42578125,488.9609375
380,488.42578125,488.40234375
381,488.42578125,488.390625
382,486.71484375,488.39453125
383,485.87890625,488.390625
384,486.96875,488.39453125
385,487.0390625,488.9609375
386,487.60546875,488.9609375
387,487.60546875,488.96875
388,488.23828125,488.96875
389,487.6640625,488.390625
390,487.09765625,488.39453125
391,487.59765625,487.82421875
392,487.546875,488.98046875
393,488.11328125,488.9765625
394,488.1171875,488.41015625
395,487.63671875,488.41015625
396,487.26953125,488.41015625
397,486.37890625,488.41015625
398,486.35546875,488.39453125
399,485.765625,487.82421875
400,485.76953125,487.82421875
401,485.46484375,430.4765625
402,485.83984375,487.2890625
403,486.9765625,488.8984375
404,487.54296875,488.328125
405,487.54296875,488.38671875
406,488.16796875,488.953125
407,488.171875,488.9609375
408,486.9765625,488.9609375
409,487.234375,488.953125
410,487.23046875,488.94921875
411,488.296875,488.94921875
412,434.78515625,488.38671875
413,487.984375,487.82421875
414,488.5,487.82421875
415,488.515625,487.82421875
416,486.4609375,487.82421875
417,486.92578125,488.39453125
418,486.64453125,488.9609375
419,485.99609375,488.40234375
420,485.3671875,488.390625
421,485.4921875,488.140625
422,485.48828125,488.703125
423,485.234375,488.66796875
424,485.48828125,488.39453125
425,485.640625,488.39453125
426,485.5,488.3828125
427,485.484375,488.125
428,485.359375,488.40625
429,485.359375,488.39453125
430,484.91796875,488.9609375
431,486.3046875,488.96875
432,485.5703125,488.96875
433,486.12890625,488.96875
434,486.70703125,488.96875
435,487.2890625,488.9609375
436,486.12109375,488.96875
437,486.12109375,488.96875
438,486.12109375,433.04296875
439,485.5546875,487.26171875
440,486.94140625,487.82421875
441,486.89453125,487.8515625
442,485.76171875,487.84765625
443,485.76171875,488.4140625
444,486.390625,487.28125
445,486.37890625,487.6015625
446,485.8125,487.29296875
447,486.95703125,487.29296875
448,487.4765625,487.86328125
449,487.41796875,487.30078125
450,488.05078125,487.30078125
451,488.62890625,487.30078125
452,488.6328125,487.87109375
453,488.6328125,487.8671875
454,437.265625,487.30078125
455,489.20703125,488.1328125
456,488.64453125,488.69921875
457,488.8203125,488.6953125
