===== Go 性能诊断详细结果 =====
Go runtime GOMAXPROCS: 12
IntraOpNumThreads: 12
InterOpNumThreads: 1
平均推理延迟: 730.25000 ms
平均Tensor构造延迟: 7.41000 ms
平均总延迟: 738.17000 ms
推理延迟标准差: 30.93134 ms
P50推理延迟: 731.00000 ms
P90推理延迟: 767.00000 ms
P95推理延迟: 779.00000 ms
Start PM: 528.50 MB
Peak PM: 892.52 MB
Stable PM: 892.43 MB
Go Heap Alloc: 16.97 MB
Go Heap Sys: 334.89 MB
GC 次数: 4

===== 详细延迟数据 =====
序号,推理延迟(ms),Tensor构造延迟(ms),总延迟(ms)
170,688.00000,14.00000,703.00000
171,710.00000,1.00000,712.00000
172,761.00000,4.00000,765.00000
173,744.00000,5.00000,750.00000
174,738.00000,11.00000,750.00000
175,764.00000,1.00000,765.00000
176,753.00000,13.00000,766.00000
177,781.00000,15.00000,797.00000
178,771.00000,10.00000,781.00000
179,778.00000,3.00000,781.00000
180,764.00000,1.00000,765.00000
181,729.00000,1.00000,730.00000
182,784.00000,11.00000,796.00000
183,792.00000,4.00000,797.00000
184,707.00000,11.00000,718.00000
185,741.00000,8.00000,750.00000
186,756.00000,9.00000,765.00000
187,782.00000,15.00000,797.00000
188,733.00000,1.00000,734.00000
189,742.00000,7.00000,750.00000
190,747.00000,3.00000,750.00000
191,790.00000,1.00000,791.00000
192,765.00000,15.00000,781.00000
193,741.00000,8.00000,750.00000
194,696.00000,6.00000,703.00000
195,683.00000,4.00000,687.00000
196,711.00000,8.00000,719.00000
197,702.00000,16.00000,719.00000
198,713.00000,5.00000,718.00000
199,749.00000,16.00000,765.00000
200,747.00000,2.00000,750.00000
