cycle,pm_arena_on,pm_arena_off
1,427.1328125,488.77734375
2,424.8671875,488.77734375
3,427.79296875,488.78515625
4,424.3828125,488.78125
5,426.4453125,488.78515625
6,425.5859375,489.3671875
7,426.5234375,488.796875
8,428.14453125,432.65625
9,429.23046875,487.109375
10,427.9453125,487.6640625
11,431.578125,487.61328125
12,428.2265625,488.1953125
13,426.6953125,489.27734375
14,427.15234375,489.265625
15,430.8359375,489.265625
16,429.98046875,489.265625
17,430.05859375,489.83203125
18,432.40234375,489.83203125
19,427.01171875,489.828125
20,426.52734375,489.1640625
21,464.1796875,488.2421875
22,463.91796875,488.23828125
23,458.29296875,487.67578125
24,462.2734375,487.67578125
25,457.86328125,488.23828125
26,466.8828125,487.67578125
27,429.36328125,488.24609375
28,467.33203125,488.8125
29,469.27734375,488.2421875
30,470.74609375,488.23828125
31,473.6328125,488.23828125
32,477.45703125,487.67578125
33,478.1875,488.23828125
34,477.27734375,488.24609375
35,478.3671875,488.2421875
36,428.80859375,488.24609375
37,473.74609375,488.2421875
38,474.2265625,487.67578125
39,476.77734375,488.24609375
40,475.34375,488.8125
41,474.375,488.8125
42,474.7734375,488.2421875
43,474.1171875,487.67578125
44,471.203125,488.2578125
45,471.53515625,430.90625
46,471.453125,487.55859375
47,473.40234375,487.3046875
48,476.796875,487.87890625
49,479.2265625,487.80859375
50,476.39453125,487.875
51,477.046875,487.359375
52,477.359375,487.94140625
53,431.0859375,487.92578125
54,477.14453125,487.89453125
55,478.40234375,487.89453125
56,478.30078125,488.75
57,478.734375,489.26953125
58,476.99609375,489.26953125
59,476.28125,488.734375
60,479.8046875,488.16796875
61,480.7265625,488.734375
62,478.79296875,488.16796875
63,479.375,488.16796875
64,480.046875,488.734375
65,478.69921875,488.73046875
66,478.92578125,488.16796875
67,478.8515625,488.16796875
68,480.0078125,488.765625
69,479.12890625,488.75
70,478.4921875,488.74609375
71,430.37109375,488.18359375
72,478.921875,488.765625
73,477.86328125,489.33203125
74,481.65625,488.75
75,482.53515625,488.75390625
76,482.25,488.75
77,483.328125,488.18359375
